te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:05:00,0.0,165.202.36.149,42.219.146.4,45278,8080,TCP,....S.,0,0,1,40,background,2,0,300,0
2016-04-11 00:05:29,0.0,69.81.144.249,42.219.146.4,34026,19,UDP,.A....,0,40,1,28,background,40,0,329,29
2016-04-11 00:06:34,0.0,176.116.195.149,42.219.146.4,5185,5074,UDP,.A....,0,40,1,441,background,28,0,394,65
2016-04-11 00:16:00,0.0,246.183.3.40,42.219.146.4,49955,3306,TCP,....S.,0,40,1,40,background,441,0,960,566
2016-04-11 00:18:04,0.0,204.223.22.109,42.219.146.4,46681,5003,TCP,....S.,0,0,1,40,background,40,0,1084,124
2016-04-11 00:21:54,0.0,42.9.7.17,42.219.146.4,3350,445,TCP,....S.,0,72,1,48,background,40,0,1314,230
2016-04-11 00:23:07,0.0,176.116.195.149,42.219.146.4,5218,5075,UDP,.A....,0,40,1,441,background,48,0,1387,73
2016-04-11 00:27:27,0.0,33.12.117.59,42.219.146.4,5484,5580,UDP,.A....,0,0,1,440,background,441,0,1647,260
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.146.4,5060,5060,UDP,.A....,0,0,1,445,background,440,0,1690,43
2016-04-11 00:28:17,0.0,217.231.240.54,42.219.146.4,39255,2121,TCP,....S.,0,40,1,40,background,445,0,1697,7
2016-04-11 00:35:49,0.0,182.42.182.186,42.219.146.4,9090,22,TCP,....S.,0,40,1,40,background,40,0,2149,452
2016-04-11 00:39:38,0.0,176.116.195.149,42.219.146.4,5137,5065,UDP,.A....,0,40,1,441,background,40,0,2378,229
2016-04-11 00:43:04,0.0,225.230.216.251,42.219.146.4,6000,3306,TCP,....S.,0,40,1,40,background,441,0,2584,206
2016-04-11 00:44:41,0.0,237.41.247.88,42.219.146.4,20000,53,UDP,.A....,0,40,1,70,background,40,0,2681,97
2016-04-11 00:45:02,0.0,60.133.101.194,42.219.146.4,5145,5060,UDP,.A....,0,40,1,444,background,70,0,2702,21
2016-04-11 00:47:49,0.0,82.167.246.233,42.219.146.4,41620,1900,UDP,.A....,0,0,1,125,background,444,0,2869,167
2016-04-11 00:52:47,0.0,216.156.202.228,42.219.146.4,5068,5060,UDP,.A....,0,40,1,443,background,125,0,3167,298
2016-04-11 00:56:10,0.0,176.116.195.149,42.219.146.4,5090,6000,UDP,.A....,0,40,1,441,background,443,0,3370,203
2016-04-11 00:58:26,0.0,224.7.72.145,42.219.146.4,16772,8080,TCP,....S.,0,40,1,40,background,441,0,3506,136
2016-04-11 01:00:44,3.0,234.44.61.27,42.219.146.4,58342,23,TCP,....S.,0,72,2,120,background,40,1,3644,138
2016-04-11 01:02:27,0.0,232.202.146.5,42.219.146.4,45069,22,TCP,....S.,0,40,1,44,background,120,1,3747,103
2016-04-11 01:03:50,0.0,73.213.27.178,42.219.146.4,20001,53,UDP,.A....,0,40,1,70,background,44,1,3830,83
2016-04-11 01:12:41,0.0,213.82.166.3,42.219.146.4,5724,5060,UDP,.A....,0,40,1,439,background,70,1,4361,531
2016-04-11 01:12:42,0.0,176.116.195.149,42.219.146.4,5108,5040,UDP,.A....,0,40,1,441,background,439,1,4362,1
2016-04-11 01:22:04,0.0,69.81.144.249,42.219.146.4,36218,17,UDP,.A....,0,40,1,28,background,441,1,4924,562
2016-04-11 01:34:56,0.0,32.100.20.28,42.219.146.4,41478,23,TCP,....S.,0,40,1,40,background,28,1,5696,772
2016-04-11 01:35:08,0.0,246.205.68.186,42.219.146.4,14064,22,TCP,....S.,0,40,1,48,background,40,1,5708,12
2016-04-11 01:36:11,0.0,246.7.238.246,42.219.146.4,12200,37015,TCP,....S.,0,72,1,40,background,48,1,5771,63
2016-04-11 01:40:29,0.0,82.6.252.214,42.219.146.4,47168,443,TCP,....S.,0,0,1,40,background,40,1,6029,258
2016-04-11 01:45:48,0.0,33.12.99.120,42.219.146.4,5380,5060,UDP,.A....,0,0,1,444,background,40,1,6348,319
