te,sa,da,byt,teDelta
2016-04-11 00:00:00,112.92.175.105,42.219.146.37,42,0
2016-04-11 00:03:53,225.114.122.140,42.219.146.37,29,233
2016-04-11 00:08:28,73.133.93.64,42.219.146.37,41,275
2016-04-11 00:08:28,224.36.46.33,42.219.146.37,40,0
2016-04-11 00:12:10,75.129.33.116,42.219.146.37,106,222
2016-04-11 00:12:43,40.172.154.212,42.219.146.37,40,33
2016-04-11 00:12:43,69.39.92.230,42.219.146.37,102,0
2016-04-11 00:14:55,246.183.3.40,42.219.146.37,436,132
2016-04-11 00:15:53,185.60.79.173,42.219.146.37,99,58
2016-04-11 00:16:55,69.116.95.62,42.219.146.37,39,62
2016-04-11 00:18:27,217.156.57.81,42.219.146.37,39,92
2016-04-11 00:19:09,117.208.149.142,42.219.146.37,40,42
2016-04-11 00:21:44,220.78.228.30,42.219.146.37,37,155
2016-04-11 00:24:26,217.231.240.206,42.219.146.37,437,162
2016-04-11 00:26:16,217.129.121.208,42.219.146.37,105,110
2016-04-11 00:26:59,69.39.92.230,42.219.146.37,59,43
2016-04-11 00:30:17,42.129.217.239,42.219.146.37,435,198
2016-04-11 00:31:02,224.4.197.160,42.219.146.37,39,45
2016-04-11 00:31:38,198.132.25.203,42.219.146.37,437,36
2016-04-11 00:32:24,56.228.87.2,42.219.146.37,38,46
2016-04-11 00:34:25,33.12.115.38,42.219.146.37,41,121
2016-04-11 00:35:43,42.93.243.234,42.219.146.37,99,78
2016-04-11 00:38:20,42.219.146.37,117.208.149.175,39,157
2016-04-11 00:39:56,69.81.144.249,42.219.146.37,38,96
2016-04-11 00:40:23,56.207.76.118,42.219.146.37,37,27
2016-04-11 00:44:27,217.156.57.81,42.219.146.37,39,244
2016-04-11 00:50:55,217.156.57.81,42.219.146.37,40,388
2016-04-11 00:50:55,32.100.20.28,42.219.146.37,41,0
2016-04-11 00:56:39,246.205.68.186,42.219.146.37,42,344
2016-04-11 00:57:14,215.150.201.226,42.219.146.37,40,35
2016-04-11 00:59:45,176.116.195.149,42.219.146.37,39,151
2016-04-11 01:04:04,164.230.19.182,42.219.146.37,66,259
2016-04-11 01:05:46,192.253.239.101,42.219.146.37,190,102
2016-04-11 01:07:38,183.27.97.31,42.219.146.37,50,112
2016-04-11 01:10:26,246.181.237.124,42.219.146.37,39,168
2016-04-11 01:10:32,82.7.67.216,42.219.146.37,44,6
2016-04-11 01:11:21,56.208.168.104,42.219.146.37,42,49
2016-04-11 01:12:14,182.42.182.186,42.219.146.37,40,53
2016-04-11 01:12:25,32.100.20.28,42.219.146.37,76,11
2016-04-11 01:14:39,194.231.140.151,42.219.146.37,444,134
2016-04-11 01:17:44,216.243.161.129,42.219.146.37,88,185
2016-04-11 01:18:43,96.96.13.149,42.219.146.37,41,59
2016-04-11 01:21:16,42.93.243.234,42.219.146.37,41,153
2016-04-11 01:21:45,96.248.73.93,42.219.146.37,444,29
2016-04-11 01:24:43,246.182.202.32,42.219.146.37,447,178
2016-04-11 01:24:43,73.60.0.219,42.219.146.37,439,0
2016-04-11 01:26:29,196.62.152.11,42.219.146.37,436,106
2016-04-11 01:30:38,234.231.198.142,42.219.146.37,49,249
2016-04-11 01:35:27,188.30.209.111,42.219.146.37,40,289
2016-04-11 01:36:33,32.100.20.28,42.219.146.37,99,66
2016-04-11 01:41:32,244.205.228.54,42.219.146.37,41,299
2016-04-11 01:48:39,69.26.99.197,42.219.146.37,428,427
2016-04-11 02:00:25,248.60.153.118,42.219.146.37,113,706
2016-04-11 02:01:24,32.100.20.28,42.219.146.37,42,59
2016-04-11 02:04:00,225.36.196.191,42.219.146.37,39,156
2016-04-11 02:04:08,176.116.194.233,42.219.146.37,147,8
2016-04-11 02:04:09,32.100.20.28,42.219.146.37,51,1
2016-04-11 02:06:44,96.96.13.149,42.219.146.37,442,155
2016-04-11 02:06:44,217.156.57.81,42.219.146.37,40,0
2016-04-11 02:06:45,190.95.56.75,42.219.146.37,434,1
2016-04-11 02:11:05,41.34.127.90,42.219.146.37,37,260
2016-04-11 02:14:17,242.101.231.152,42.219.146.37,42,192
2016-04-11 02:15:27,222.156.17.131,42.219.146.37,39,70
2016-04-11 02:15:29,198.132.44.182,42.219.146.37,37,2
2016-04-11 02:19:21,201.27.56.107,42.219.146.37,50,232
2016-04-11 02:20:28,246.7.153.223,42.219.146.37,109,67
2016-04-11 02:26:32,168.229.9.218,42.219.146.37,126,364
2016-04-11 02:28:11,239.77.182.157,42.219.146.37,40,99
2016-04-11 02:28:11,225.36.203.34,42.219.146.37,38,0
2016-04-11 02:29:30,48.138.80.181,42.219.146.37,444,79
2016-04-11 02:36:17,66.245.89.254,42.219.146.37,50,407
2016-04-11 02:38:22,170.253.36.53,42.219.146.37,442,125
2016-04-11 02:40:22,96.96.13.149,42.219.146.37,240,120
2016-04-11 02:40:27,69.55.59.87,42.219.146.37,102,5
2016-04-11 02:43:50,73.60.0.219,42.219.146.37,41,203
2016-04-11 02:49:44,246.7.153.223,42.219.146.37,40,354
2016-04-11 02:51:20,226.254.27.96,42.219.146.37,435,96
