te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:04:20,3.0,136.111.15.82,42.219.152.128,54724,23,TCP,....S.,0,40,2,104,background,2,0,260,0
2016-04-11 00:06:22,0.0,176.116.195.149,42.219.152.128,5185,5074,UDP,.A....,0,40,1,442,background,104,0,382,122
2016-04-11 00:06:34,8.98,50.62.81.169,42.219.152.128,43503,23,TCP,....S.,0,72,3,180,background,442,0,394,12
2016-04-11 00:07:24,9.004,84.181.34.175,42.219.152.128,59195,23,TCP,....S.,0,72,3,180,background,180,0,444,50
2016-04-11 00:07:42,0.0,218.5.78.229,42.219.152.128,37456,53,UDP,.A....,0,72,1,65,background,180,0,462,18
2016-04-11 00:08:19,0.0,82.6.252.214,42.219.152.128,37131,443,TCP,....S.,0,0,1,40,background,65,0,499,37
2016-04-11 00:16:00,0.0,246.183.3.40,42.219.152.128,48028,3306,TCP,....S.,0,40,1,40,background,40,0,960,461
2016-04-11 00:16:54,2.0,77.139.210.216,42.219.152.128,43481,23,TCP,....S.,0,72,2,120,background,40,0,1014,54
2016-04-11 00:18:24,0.0,204.223.22.109,42.219.152.128,46681,5003,TCP,....S.,0,0,1,40,background,120,0,1104,90
2016-04-11 00:21:37,0.0,42.9.7.17,42.219.152.128,3222,445,TCP,....S.,0,72,1,48,background,40,0,1297,193
2016-04-11 00:21:54,7.0120000000000005,248.3.133.202,42.219.152.128,59000,23,TCP,....S.,0,72,4,240,background,48,0,1314,17
2016-04-11 00:22:55,0.0,176.116.195.149,42.219.152.128,5218,5075,UDP,.A....,0,40,1,438,background,240,0,1375,61
2016-04-11 00:27:15,0.0,33.12.117.59,42.219.152.128,5484,5580,UDP,.A....,0,0,1,442,background,438,0,1635,260
2016-04-11 00:27:39,0.0,40.23.18.236,42.219.152.128,0,0,TCP,UA...F,0,40,1,60,background,442,0,1659,24
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.152.128,5060,5060,UDP,.A....,0,0,1,445,background,60,0,1690,31
2016-04-11 00:28:41,0.0,217.231.240.54,42.219.152.128,39255,2121,TCP,....S.,0,40,1,40,background,445,0,1721,31
2016-04-11 00:35:49,0.0,182.42.182.186,42.219.152.128,9090,22,TCP,....S.,0,40,1,40,background,40,0,2149,428
2016-04-11 00:38:34,5.0,41.154.145.32,42.219.152.128,49561,23,TCP,....S.,0,72,6,360,background,40,0,2314,165
2016-04-11 00:39:26,0.0,176.116.195.149,42.219.152.128,5137,5065,UDP,.A....,0,40,1,441,background,360,0,2366,52
2016-04-11 00:43:04,0.0,225.230.216.251,42.219.152.128,6000,3306,TCP,....S.,0,40,1,40,background,441,0,2584,218
2016-04-11 00:44:41,0.0,237.41.247.88,42.219.152.128,20000,53,UDP,.A....,0,40,1,70,background,40,0,2681,97
2016-04-11 00:45:00,0.0,60.133.101.194,42.219.152.128,5145,5060,UDP,.A....,0,40,1,443,background,70,0,2700,19
2016-04-11 00:47:41,0.0,82.167.246.233,42.219.152.128,41620,1900,UDP,.A....,0,0,1,125,background,443,0,2861,161
2016-04-11 00:48:43,2.872,218.111.231.39,42.219.152.128,2365,445,TCP,....S.,0,16,2,96,background,125,0,2923,62
2016-04-11 00:50:13,2.9960000000000004,165.36.180.180,42.219.152.128,48704,23,TCP,....S.,0,0,2,104,background,96,0,3013,90
