te,sa,da,byt,teDelta
2016-04-11 00:00:15,42.219.155.87,131.138.30.78,2791,15
2016-04-11 00:00:30,42.219.155.87,85.106.140.30,2683,15
2016-04-11 00:00:38,42.219.155.87,42.145.31.42,2761,8
2016-04-11 00:00:45,85.236.82.121,42.219.155.87,2690,7
2016-04-11 00:01:06,73.5.203.135,42.219.155.87,2682,21
2016-04-11 00:01:27,169.108.216.197,42.219.155.87,2746,21
2016-04-11 00:01:40,143.72.4.250,42.219.155.87,2659,13
2016-04-11 00:01:57,208.104.47.229,42.219.155.87,2686,17
2016-04-11 00:02:10,165.151.199.31,42.219.155.87,2744,13
2016-04-11 00:02:29,42.219.155.87,56.153.165.185,2786,19
2016-04-11 00:02:46,60.203.248.74,42.219.155.87,2719,17
2016-04-11 00:03:05,42.219.155.87,131.139.82.162,2664,19
2016-04-11 00:03:29,42.219.155.87,56.153.165.185,2768,24
2016-04-11 00:03:37,226.187.231.96,42.219.155.87,2735,8
2016-04-11 00:03:55,222.156.17.131,42.219.155.87,2769,18
2016-04-11 00:04:11,168.43.104.70,42.219.155.87,2659,16
2016-04-11 00:04:19,69.124.9.215,42.219.155.87,2749,8
2016-04-11 00:04:51,73.5.203.135,42.219.155.87,2705,32
2016-04-11 00:04:59,42.219.155.87,168.59.31.72,2784,8
2016-04-11 00:05:00,42.219.155.87,168.40.231.130,2766,1
2016-04-11 00:05:16,42.219.155.87,194.233.67.122,2744,16
2016-04-11 00:05:36,42.219.155.87,73.5.203.135,2714,20
2016-04-11 00:05:46,199.7.218.224,42.219.155.87,2733,10
2016-04-11 00:06:05,37.7.119.16,42.219.155.87,2695,19
2016-04-11 00:06:27,194.233.67.129,42.219.155.87,2753,22
2016-04-11 00:06:36,42.219.155.87,77.200.220.195,2714,9
2016-04-11 00:06:39,42.219.155.87,62.100.53.116,2793,3
2016-04-11 00:07:00,248.60.153.118,42.219.155.87,2689,21
2016-04-11 00:07:26,143.72.8.137,42.219.155.87,2677,26
2016-04-11 00:07:32,42.219.155.87,194.233.64.62,2731,6
2016-04-11 00:07:40,192.1.60.232,42.219.155.87,2731,8
2016-04-11 00:07:53,42.219.155.87,194.233.67.128,2792,13
2016-04-11 00:08:05,42.219.155.87,165.133.210.160,2692,12
2016-04-11 00:08:34,36.153.139.21,42.219.155.87,2753,29
2016-04-11 00:08:59,175.177.229.89,42.219.155.87,2668,25
2016-04-11 00:09:05,42.219.155.87,133.27.5.130,2680,6
2016-04-11 00:09:14,54.143.54.185,42.219.155.87,2701,9
2016-04-11 00:09:38,42.219.155.87,86.132.96.95,2799,24
2016-04-11 00:09:58,211.51.152.68,42.219.155.87,2679,20
2016-04-11 00:10:01,106.150.228.96,42.219.155.87,2801,3
2016-04-11 00:10:25,42.219.155.87,194.233.64.251,2740,24
2016-04-11 00:10:42,42.219.155.87,73.5.203.135,2742,17
2016-04-11 00:10:55,42.219.155.87,209.51.138.85,2732,13
2016-04-11 00:11:24,42.219.155.87,37.5.173.16,2675,29
2016-04-11 00:11:34,42.219.155.87,168.40.234.122,2659,10
2016-04-11 00:11:56,42.219.155.87,150.130.85.27,2791,22
2016-04-11 00:12:09,42.219.155.87,143.72.8.137,2662,13
2016-04-11 00:12:27,168.40.231.129,42.219.155.87,2687,18
2016-04-11 00:12:49,54.143.54.186,42.219.155.87,2751,22
2016-04-11 00:13:00,42.219.155.87,168.40.231.132,2799,11
2016-04-11 00:13:21,93.179.206.13,42.219.155.87,2730,21
2016-04-11 00:13:33,42.219.155.87,216.61.12.29,2760,12
2016-04-11 00:13:58,143.72.8.137,42.219.155.87,2716,25
2016-04-11 00:14:07,176.211.206.238,42.219.155.87,2688,9
2016-04-11 00:14:12,143.72.8.137,42.219.155.87,2783,5
2016-04-11 00:14:21,42.219.155.87,143.72.8.137,2749,9
2016-04-11 00:14:53,143.72.8.137,42.219.155.87,2753,32
2016-04-11 00:15:00,188.31.65.42,42.219.155.87,2707,7
2016-04-11 00:15:11,54.143.54.203,42.219.155.87,2747,11
2016-04-11 00:15:20,201.165.60.134,42.219.155.87,2679,9
2016-04-11 00:15:33,198.132.59.191,42.219.155.87,2711,13
2016-04-11 00:15:34,42.219.155.87,73.5.203.135,2684,1
2016-04-11 00:15:54,42.219.155.87,33.12.107.46,2750,20
2016-04-11 00:16:24,209.48.6.109,42.219.155.87,2725,30
2016-04-11 00:16:33,42.219.155.87,143.72.4.250,2797,9
2016-04-11 00:16:47,42.219.155.87,37.64.203.5,2737,14
2016-04-11 00:17:03,165.151.199.31,42.219.155.87,2764,16
2016-04-11 00:17:26,169.108.221.206,42.219.155.87,2719,23
2016-04-11 00:17:43,32.125.115.55,42.219.155.87,2780,17
2016-04-11 00:17:59,42.219.155.87,63.79.179.9,2789,16
2016-04-11 00:18:11,106.150.228.174,42.219.155.87,2794,12
2016-04-11 00:18:36,42.219.155.87,117.72.245.55,2667,25
2016-04-11 00:18:58,42.219.155.87,143.72.8.137,2747,22
2016-04-11 00:19:06,42.219.155.87,43.237.41.27,2784,8
2016-04-11 00:19:15,42.66.91.126,42.219.155.87,2724,9
2016-04-11 00:19:36,176.116.194.233,42.219.155.87,2792,21
2016-04-11 00:19:47,219.108.2.222,42.219.155.87,2691,11
2016-04-11 00:20:05,42.219.155.87,216.38.63.185,2741,18
2016-04-11 00:20:24,42.219.155.87,212.116.111.247,2787,19
2016-04-11 00:20:45,42.219.155.87,127.204.62.250,2798,21
2016-04-11 00:21:22,42.219.155.87,248.18.146.44,2797,37
2016-04-11 00:21:38,194.233.64.122,42.219.155.87,2728,16
2016-04-11 00:22:13,42.219.155.87,204.97.186.216,2710,35
2016-04-11 00:22:30,42.219.155.87,212.32.30.144,2730,17
2016-04-11 00:22:48,42.219.155.87,143.72.4.250,2756,18
2016-04-11 00:22:57,85.236.82.121,42.219.155.87,2703,9
2016-04-11 00:23:14,42.219.155.87,105.2.130.240,2715,17
2016-04-11 00:23:28,54.143.54.58,42.219.155.87,2693,14
2016-04-11 00:23:40,91.71.126.148,42.219.155.87,2753,12
2016-04-11 00:23:48,204.223.250.211,42.219.155.87,2691,8
2016-04-11 00:24:09,42.219.155.87,106.150.228.200,2736,21
2016-04-11 00:24:28,42.219.155.87,204.97.186.216,2795,19
2016-04-11 00:24:29,42.219.155.87,66.239.102.126,2686,1
2016-04-11 00:24:49,176.42.23.254,42.219.155.87,2782,20
2016-04-11 00:24:52,143.72.8.137,42.219.155.87,2696,3
2016-04-11 00:25:15,201.165.239.254,42.219.155.87,2779,23
2016-04-11 00:25:39,175.177.229.22,42.219.155.87,2732,24
2016-04-11 00:25:45,42.219.155.87,240.125.16.139,2722,6
2016-04-11 00:26:07,67.206.232.12,42.219.155.87,2673,22
2016-04-11 00:26:24,54.143.54.186,42.219.155.87,2749,17
2016-04-11 00:26:30,42.219.155.87,223.131.238.29,2687,6
2016-04-11 00:26:45,42.219.155.87,204.97.202.81,2684,15
2016-04-11 00:27:00,42.219.155.87,91.71.126.215,2668,15
2016-04-11 00:27:20,42.219.155.87,202.179.151.184,2716,20
2016-04-11 00:27:40,36.37.147.152,42.219.155.87,2696,20
2016-04-11 00:27:41,42.219.155.87,99.176.23.12,2699,1
2016-04-11 00:27:55,42.219.155.87,165.133.210.175,2701,14
2016-04-11 00:28:21,42.219.155.87,185.220.225.172,2790,26
2016-04-11 00:28:39,42.219.155.87,104.235.127.197,2741,18
2016-04-11 00:28:56,73.5.203.135,42.219.155.87,2753,17
2016-04-11 00:29:13,216.42.26.103,42.219.155.87,2770,17
2016-04-11 00:29:26,202.35.54.147,42.219.155.87,2754,13
2016-04-11 00:29:42,67.232.138.16,42.219.155.87,2783,16
2016-04-11 00:29:53,178.132.22.186,42.219.155.87,2720,11
2016-04-11 00:30:10,42.219.155.87,194.233.67.129,2777,17
2016-04-11 00:30:11,42.219.155.87,67.206.69.154,2674,1
2016-04-11 00:30:33,127.204.60.89,42.219.155.87,2731,22
2016-04-11 00:30:49,133.252.2.180,42.219.155.87,2693,16
2016-04-11 00:30:56,57.80.40.178,42.219.155.87,2797,7
2016-04-11 00:31:15,42.219.155.87,143.72.8.137,2720,19
2016-04-11 00:31:32,42.219.155.87,143.72.4.250,2687,17
2016-04-11 00:31:42,42.219.155.87,143.72.8.137,2684,10
2016-04-11 00:31:47,56.153.165.185,42.219.155.87,2677,5
2016-04-11 00:31:59,42.219.155.87,168.40.231.65,2755,12
2016-04-11 00:32:02,182.42.182.131,42.219.155.87,2693,3
2016-04-11 00:32:13,69.124.9.215,42.219.155.87,2804,11
2016-04-11 00:32:25,102.216.44.228,42.219.155.87,2730,12
2016-04-11 00:32:32,56.153.165.185,42.219.155.87,2790,7
2016-04-11 00:32:45,42.219.155.87,211.50.215.162,2712,13
2016-04-11 00:32:46,42.219.155.87,194.233.64.251,2728,1
2016-04-11 00:32:53,127.205.43.76,42.219.155.87,2667,7
2016-04-11 00:33:12,42.219.159.182,42.219.155.87,2777,19
2016-04-11 00:33:19,194.233.67.128,42.219.155.87,2696,7
2016-04-11 00:33:35,143.72.4.250,42.219.155.87,2776,16
2016-04-11 00:34:00,133.2.215.60,42.219.155.87,2804,25
2016-04-11 00:34:22,91.71.126.222,42.219.155.87,2778,22
2016-04-11 00:34:32,56.153.165.185,42.219.155.87,2690,10
2016-04-11 00:34:53,143.72.8.137,42.219.155.87,2700,21
2016-04-11 00:35:07,42.219.155.87,188.31.65.115,2693,14
2016-04-11 00:35:21,42.219.155.87,215.145.122.160,2657,14
2016-04-11 00:35:38,212.32.30.144,42.219.155.87,946,17
2016-04-11 00:35:52,42.219.155.87,43.164.49.177,2582,14
2016-04-11 00:36:07,131.172.196.12,42.219.155.87,952,15
2016-04-11 00:36:15,42.219.155.87,194.233.74.233,2593,8
2016-04-11 00:36:22,42.39.173.141,42.219.155.87,930,7
2016-04-11 00:36:39,106.150.228.76,42.219.155.87,2533,17
2016-04-11 00:36:45,106.150.228.222,42.219.155.87,928,6
2016-04-11 00:36:49,237.128.46.55,42.219.155.87,2520,4
2016-04-11 00:37:13,42.219.155.87,143.72.4.250,937,24
2016-04-11 00:37:17,42.219.155.87,69.124.9.215,2619,4
2016-04-11 00:37:26,42.219.155.87,143.72.8.137,961,9
2016-04-11 00:37:40,42.219.155.87,197.34.232.61,2545,14
2016-04-11 00:37:58,85.236.82.121,42.219.155.87,969,18
2016-04-11 00:38:10,32.64.23.193,42.219.155.87,2623,12
2016-04-11 00:38:12,42.219.155.87,102.216.44.77,948,2
2016-04-11 00:38:27,42.219.155.87,223.80.207.116,2580,15
2016-04-11 00:38:42,42.219.155.87,218.146.133.114,928,15
2016-04-11 00:39:01,176.116.194.233,42.219.155.87,2610,19
2016-04-11 00:39:27,42.219.155.87,61.189.117.26,958,26
2016-04-11 00:39:32,106.150.228.201,42.219.155.87,2544,5
2016-04-11 00:39:45,42.219.155.87,192.1.193.190,930,13
2016-04-11 00:39:54,54.143.54.186,42.219.155.87,2528,9
2016-04-11 00:40:03,42.219.155.87,197.34.202.42,933,9
2016-04-11 00:40:16,106.150.228.135,42.219.155.87,2564,13
2016-04-11 00:40:39,143.72.4.250,42.219.155.87,951,23
2016-04-11 00:40:57,56.153.165.185,42.219.155.87,2605,18
2016-04-11 00:41:13,42.219.155.87,211.41.175.166,967,16
2016-04-11 00:41:26,36.169.195.17,42.219.155.87,2538,13
2016-04-11 00:41:39,244.170.64.89,42.219.155.87,950,13
2016-04-11 00:41:55,143.72.4.250,42.219.155.87,2599,16
2016-04-11 00:42:05,143.72.4.250,42.219.155.87,956,10
2016-04-11 00:42:23,42.219.155.87,165.133.210.175,2515,18
2016-04-11 00:42:44,143.72.8.137,42.219.155.87,950,21
2016-04-11 00:43:02,56.153.165.185,42.219.155.87,2570,18
2016-04-11 00:43:30,143.72.4.250,42.219.155.87,956,28
2016-04-11 00:43:46,42.219.155.87,143.72.8.137,2615,16
