te,sa,da,byt,teDelta
2016-04-11 00:00:15,235.2.67.13,42.219.147.238,46,15
2016-04-11 00:00:42,32.100.20.28,42.219.147.238,39,27
2016-04-11 00:00:42,40.137.236.9,42.219.147.238,39,0
2016-04-11 00:00:42,246.205.68.186,42.219.147.238,40,0
2016-04-11 00:06:15,73.133.93.64,42.219.147.238,40,333
2016-04-11 00:08:59,229.219.239.216,42.219.147.238,38,164
2016-04-11 00:11:09,239.66.117.249,42.219.147.238,39,130
2016-04-11 00:11:09,185.223.217.122,42.219.147.238,39,0
2016-04-11 00:12:50,217.156.57.81,42.219.147.238,38,101
2016-04-11 00:17:23,204.223.22.109,42.219.147.238,40,273
2016-04-11 00:19:42,217.156.57.81,42.219.147.238,39,139
2016-04-11 00:19:51,185.60.79.173,42.219.147.238,38,9
2016-04-11 00:23:30,240.62.27.30,42.219.147.238,39,219
2016-04-11 00:26:06,240.111.145.48,42.219.147.238,39,156
2016-04-11 00:26:06,176.116.194.233,42.219.147.238,40,0
2016-04-11 00:36:48,60.56.180.25,42.219.147.238,38,642
2016-04-11 00:41:47,240.63.255.1,42.219.147.238,40,299
2016-04-11 00:43:26,198.132.44.182,42.219.147.238,41,99
2016-04-11 00:45:20,50.161.254.147,42.219.147.238,40,114
2016-04-11 00:47:25,217.231.255.195,42.219.147.238,39,125
2016-04-11 00:53:33,117.208.149.138,42.219.147.238,39,368
2016-04-11 00:53:54,96.96.13.149,42.219.147.238,38,21
2016-04-11 00:57:35,192.54.187.43,42.219.147.238,40,221
2016-04-11 01:00:00,82.167.246.233,42.219.147.238,40,145
2016-04-11 01:01:40,242.101.233.184,42.219.147.238,40,100
2016-04-11 01:03:34,198.132.25.203,42.219.147.238,40,114
2016-04-11 01:11:19,204.91.46.201,42.219.147.238,40,465
2016-04-11 01:11:35,112.51.172.107,42.219.147.238,39,16
2016-04-11 01:11:37,228.115.176.239,42.219.147.238,40,2
2016-04-11 01:12:13,165.72.140.4,42.219.147.238,40,36
2016-04-11 01:12:14,69.124.8.108,42.219.147.238,39,1
2016-04-11 01:13:29,246.181.237.124,42.219.147.238,40,75
2016-04-11 01:16:15,197.197.151.10,42.219.147.238,38,166
2016-04-11 01:16:23,82.6.252.215,42.219.147.238,39,8
2016-04-11 01:18:37,60.133.101.194,42.219.147.238,38,134
2016-04-11 01:24:45,117.208.149.160,42.219.147.238,41,368
2016-04-11 01:25:33,217.156.57.81,42.219.147.238,40,48
2016-04-11 01:29:08,176.228.211.113,42.219.147.238,39,215
2016-04-11 01:29:56,194.231.140.151,42.219.147.238,39,48
2016-04-11 01:34:50,228.115.176.239,42.219.147.238,38,294
2016-04-11 01:36:43,240.111.145.48,42.219.147.238,41,113
2016-04-11 01:37:10,32.100.20.28,42.219.147.238,38,27
2016-04-11 01:37:16,240.63.255.1,42.219.147.238,40,6
2016-04-11 01:40:06,49.149.152.95,42.219.147.238,38,170
2016-04-11 01:40:06,227.123.84.11,42.219.147.238,40,0
2016-04-11 01:45:27,211.111.113.223,42.219.147.238,39,321
2016-04-11 01:48:12,68.137.135.192,42.219.147.238,40,165
2016-04-11 01:50:33,32.100.20.28,42.219.147.238,40,141
2016-04-11 01:51:02,86.128.235.174,42.219.147.238,39,29
2016-04-11 01:51:30,224.7.72.145,42.219.147.238,39,28
2016-04-11 01:52:17,62.149.232.134,42.219.147.238,40,47
2016-04-11 01:52:17,237.128.46.55,42.219.147.238,39,0
2016-04-11 01:53:01,182.42.182.186,42.219.147.238,39,44
2016-04-11 01:53:01,36.37.183.136,42.219.147.238,40,0
2016-04-11 01:53:01,68.137.244.148,42.219.147.238,41,0
2016-04-11 01:53:01,213.82.125.138,42.219.147.238,40,0
2016-04-11 01:57:50,218.62.16.213,42.219.147.238,41,289
2016-04-11 02:04:21,198.132.25.203,42.219.147.238,40,391
2016-04-11 02:08:55,69.39.92.190,42.219.147.238,39,274
2016-04-11 02:09:22,237.137.79.90,42.219.147.238,41,27
2016-04-11 02:11:13,33.12.108.90,42.219.147.238,39,111
2016-04-11 02:11:32,43.42.79.232,42.219.147.238,41,19
2016-04-11 02:12:17,217.231.240.206,42.219.147.238,40,45
2016-04-11 02:13:29,226.72.99.77,42.219.147.238,41,72
2016-04-11 02:13:30,240.62.27.30,42.219.147.238,40,1
2016-04-11 02:13:30,43.28.221.2,42.219.147.238,40,0
2016-04-11 02:13:44,69.12.45.239,42.219.147.238,41,14
2016-04-11 02:20:14,183.47.94.174,42.219.147.238,40,390
2016-04-11 02:22:29,69.81.144.249,42.219.147.238,39,135
2016-04-11 02:23:16,224.4.3.92,42.219.147.238,39,47
2016-04-11 02:23:21,236.131.176.197,42.219.147.238,39,5
2016-04-11 02:23:39,69.124.8.90,42.219.147.238,40,18
2016-04-11 02:24:12,85.113.100.221,42.219.147.238,41,33
2016-04-11 02:24:57,225.26.73.133,42.219.147.238,38,45
2016-04-11 02:24:57,176.7.106.231,42.219.147.238,38,0
2016-04-11 02:28:47,67.65.53.100,42.219.147.238,40,230
2016-04-11 02:29:27,82.167.246.233,42.219.147.238,39,40
2016-04-11 02:30:25,32.100.20.28,42.219.147.238,40,58
