te,sa,da,byt,teDelta
2016-04-11 00:00:01,42.219.155.123,143.72.8.137,966,1
2016-04-11 00:00:02,216.60.123.148,42.219.155.123,958,1
2016-04-11 00:00:03,57.165.255.65,42.219.155.123,1002,1
2016-04-11 00:00:04,197.34.211.202,42.219.155.123,27470,1
2016-04-11 00:00:05,255.150.141.233,42.219.155.123,262755,1
2016-04-11 00:00:06,106.150.228.167,42.219.155.123,22247590,1
2016-04-11 00:00:07,106.150.21.131,42.219.155.123,21024714,1
2016-04-11 00:00:08,42.219.155.123,143.72.4.250,2521918,1
2016-04-11 00:00:09,42.219.155.123,143.72.8.137,514201215,1
2016-04-11 00:00:10,42.219.155.123,208.65.60.35,138256537,1
2016-04-11 00:00:11,42.219.155.123,36.149.244.182,150730508,1
2016-04-11 00:00:12,54.143.54.165,42.219.155.123,2268682,1
2016-04-11 00:00:13,42.219.155.123,50.85.126.130,2271765,1
2016-04-11 00:00:14,42.219.155.123,208.104.217.242,970346,1
2016-04-11 00:00:15,197.34.216.37,42.219.155.123,477850,1
2016-04-11 00:00:16,77.229.240.146,42.219.155.123,21191862,1
2016-04-11 00:00:17,42.219.155.123,106.150.228.168,20504060,1
2016-04-11 00:00:18,42.219.155.123,143.72.8.137,20930539,1
2016-04-11 00:00:19,42.219.155.123,69.105.243.177,20964977,1
2016-04-11 00:00:20,42.219.155.123,69.124.9.215,129804342,1
2016-04-11 00:00:21,42.219.155.123,194.233.94.119,121378941,1
2016-04-11 00:00:22,42.219.155.123,197.34.196.202,134937601,1
2016-04-11 00:00:23,42.219.155.123,165.133.210.175,2179493,1
2016-04-11 00:00:24,143.72.4.250,42.219.155.123,28,1
2016-04-11 00:00:25,217.161.4.97,42.219.155.123,28,1
2016-04-11 00:00:26,42.219.155.123,36.130.54.207,28,1
2016-04-11 00:00:27,143.72.8.137,42.219.155.123,2259431,1
2016-04-11 00:00:28,106.150.228.25,42.219.155.123,21302645,1
2016-04-11 00:00:29,69.124.9.215,42.219.155.123,20918102,1
2016-04-11 00:00:30,42.219.155.123,208.255.38.41,21293392,1
2016-04-11 00:00:31,42.219.155.123,194.102.193.140,137094988,1
2016-04-11 00:00:32,42.219.155.123,91.71.126.211,26358390,1
2016-04-11 00:00:33,143.72.4.250,42.219.155.123,85040763,1
2016-04-11 00:00:34,212.115.145.8,42.219.155.123,280985,1
2016-04-11 00:00:35,42.219.155.123,143.72.4.250,22281385,1
2016-04-11 00:00:36,42.219.155.123,218.66.166.63,152344563,1
2016-04-11 00:00:37,69.132.154.42,42.219.155.123,25778602,1
2016-04-11 00:00:38,244.34.224.228,42.219.155.123,61021052,1
2016-04-11 00:00:39,42.219.155.123,143.72.8.137,20634301,1
2016-04-11 00:00:40,42.219.155.123,208.91.91.254,20784359,1
2016-04-11 00:00:41,42.219.155.123,106.150.228.76,20663317,1
2016-04-11 00:00:42,42.219.155.123,67.208.91.182,20579503,1
2016-04-11 00:00:43,54.143.54.79,42.219.155.123,21142700,1
2016-04-11 00:00:44,42.219.155.123,143.94.68.229,4150526,1
2016-04-11 00:00:45,42.219.155.123,42.145.31.42,23651391,1
2016-04-11 00:00:46,42.219.155.123,189.83.158.133,19945264,1
2016-04-11 00:00:47,42.219.155.123,143.72.8.137,270032,1
2016-04-11 00:00:48,237.128.46.55,42.219.155.123,4400,1
2016-04-11 00:00:49,42.219.155.123,63.0.229.233,207355,1
2016-04-11 00:00:50,67.208.91.182,42.219.155.123,6788,1
2016-04-11 00:00:51,85.236.82.121,42.219.155.123,29,1
2016-04-11 00:00:52,42.219.155.123,194.233.67.161,109032883,1
2016-04-11 00:00:53,42.219.155.123,194.233.74.233,22010707,1
2016-04-11 00:00:54,194.233.67.152,42.219.155.123,21283277,1
2016-04-11 00:00:55,42.219.155.123,194.233.74.238,20431469,1
2016-04-11 00:00:56,197.197.151.10,42.219.155.123,20380079,1
2016-04-11 00:00:57,42.219.155.123,246.7.153.223,20513325,1
2016-04-11 00:00:58,42.219.155.123,143.72.8.137,71818792,1
2016-04-11 00:00:59,42.219.155.123,176.130.187.65,136149568,1
2016-04-11 00:01:00,42.219.155.123,70.95.149.216,1566117,1
2016-04-11 00:01:01,42.219.155.123,143.72.8.137,1421576,1
2016-04-11 00:01:02,42.219.155.123,33.122.18.168,21061989,1
2016-04-11 00:01:03,42.219.155.123,67.231.4.140,20314724,1
