te,sa,da,byt,teDelta
2016-04-11 00:01:00,42.219.153.5,33.32.94.215,1142,60
2016-04-11 00:01:48,216.49.147.126,42.219.153.5,17643,48
2016-04-11 00:02:39,61.151.164.242,42.219.153.5,21694187,51
2016-04-11 00:03:10,42.219.153.5,85.236.82.121,34,31
2016-04-11 00:03:16,209.50.199.238,42.219.153.5,485215172,6
2016-04-11 00:04:19,183.45.72.135,42.219.153.5,301297284,63
2016-04-11 00:05:08,42.219.153.5,175.177.229.78,140390459,49
2016-04-11 00:06:01,85.245.33.7,42.219.153.5,153177980,53
2016-04-11 00:06:20,42.219.153.5,91.71.126.140,2002002,19
2016-04-11 00:07:53,42.219.153.5,60.242.232.69,154377544,93
2016-04-11 00:08:43,42.219.153.5,56.153.165.185,151048779,50
2016-04-11 00:09:33,143.72.8.137,42.219.153.5,67164834,50
2016-04-11 00:10:32,211.50.235.112,42.219.153.5,40598819,59
2016-04-11 00:11:08,42.219.153.5,204.97.186.217,20423237,36
2016-04-11 00:11:31,194.102.200.215,42.219.153.5,31775152,23
2016-04-11 00:12:18,54.143.54.183,42.219.153.5,22290943,47
2016-04-11 00:12:40,217.63.103.176,42.219.153.5,22175836,22
2016-04-11 00:13:30,42.219.153.5,216.41.232.87,156644511,50
2016-04-11 00:14:40,165.133.210.175,42.219.153.5,107033459,70
2016-04-11 00:15:17,44.66.97.214,42.219.153.5,156609026,37
2016-04-11 00:15:51,133.23.152.236,42.219.153.5,137900484,34
2016-04-11 00:16:50,165.133.210.175,42.219.153.5,21121642,59
2016-04-11 00:17:20,165.133.210.175,42.219.153.5,20582157,30
2016-04-11 00:17:49,43.42.79.255,42.219.153.5,20516056,29
2016-04-11 00:19:01,42.219.153.5,216.61.12.29,21582232,72
2016-04-11 00:19:57,85.236.82.121,42.219.153.5,929277,56
2016-04-11 00:21:10,42.219.153.5,143.72.8.137,431576,73
2016-04-11 00:21:49,219.109.61.118,42.219.153.5,378629,39
2016-04-11 00:22:59,178.70.89.32,42.219.153.5,22000315,70
2016-04-11 00:24:10,42.219.153.5,54.143.54.165,28897286,71
2016-04-11 00:24:38,42.219.153.5,194.233.67.222,28855989,28
2016-04-11 00:25:30,143.72.8.137,42.219.153.5,508788097,52
2016-04-11 00:26:23,106.150.228.222,42.219.153.5,33,53
2016-04-11 00:27:25,42.219.153.5,194.233.74.55,89772815,62
2016-04-11 00:28:13,71.163.139.11,42.219.153.5,137291927,48
2016-04-11 00:29:13,204.223.191.211,42.219.153.5,21539758,60
2016-04-11 00:30:00,106.150.228.245,42.219.153.5,20994690,47
2016-04-11 00:30:19,143.72.8.137,42.219.153.5,20426448,19
2016-04-11 00:31:03,143.72.8.137,42.219.153.5,20477194,44
2016-04-11 00:32:05,42.219.153.5,202.179.151.184,21200653,62
2016-04-11 00:32:36,42.219.153.5,85.236.82.121,20536593,31
2016-04-11 00:33:59,42.219.153.5,67.208.91.182,59823879,83
2016-04-11 00:34:53,42.219.153.5,158.128.254.213,135167357,54
2016-04-11 00:34:54,42.219.153.5,76.160.73.2,134687245,1
2016-04-11 00:35:18,42.219.153.5,188.31.65.102,21609086,24
2016-04-11 00:35:48,194.233.64.113,42.219.153.5,22485724,30
2016-04-11 00:36:38,42.219.153.5,215.145.122.161,534003919,50
2016-04-11 00:37:23,42.219.153.5,48.185.204.209,149303223,45
2016-04-11 00:38:17,106.150.228.142,42.219.153.5,20892557,54
2016-04-11 00:39:02,62.31.106.246,42.219.153.5,21964032,45
2016-04-11 00:39:56,42.219.153.5,208.71.62.127,22513585,54
2016-04-11 00:40:50,60.151.62.133,42.219.153.5,59580385,54
2016-04-11 00:41:44,56.153.165.185,42.219.153.5,150784203,54
2016-04-11 00:42:16,165.133.210.160,42.219.153.5,21662139,32
2016-04-11 00:42:52,194.233.67.128,42.219.153.5,20718152,36
2016-04-11 00:43:44,32.100.20.28,42.219.153.5,26920152,52
2016-04-11 00:44:42,194.233.67.75,42.219.153.5,2130750,58
2016-04-11 00:45:24,168.40.238.59,42.219.153.5,20384785,42
2016-04-11 00:46:02,42.219.153.5,204.97.186.217,20995728,38
2016-04-11 00:47:12,42.219.153.5,36.149.244.182,21225660,70
2016-04-11 00:47:51,42.219.153.5,106.150.228.222,21048627,39
