te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable
2016-04-11 00:06:16,0.0,176.116.195.149,42.219.159.210,5185,5074,UDP,.A....,0,40,1,440,background
2016-04-11 00:08:33,0.684,185.195.241.206,42.219.159.210,443,26173,TCP,.AP.S.,0,0,9,3747,background
2016-04-11 00:08:33,1.02,42.219.159.210,185.195.241.206,26173,443,TCP,.AP.S.,0,0,11,5921,background
2016-04-11 00:08:39,6.056,185.195.241.206,42.219.159.210,443,26174,TCP,.AP.SF,0,0,9,3610,background
2016-04-11 00:08:39,6.272,42.219.159.210,185.195.241.206,26174,443,TCP,.APRSF,0,0,9,729,background
2016-04-11 00:08:54,0.0,82.7.67.216,42.219.159.210,38037,1604,TCP,....S.,0,0,1,40,background
2016-04-11 00:09:34,0.21600000000000003,185.195.241.206,42.219.159.210,443,26173,TCP,.AP..F,0,0,2,111,background
2016-04-11 00:09:34,0.21600000000000003,42.219.159.210,185.195.241.206,26173,443,TCP,.A...F,0,0,2,80,background
2016-04-11 00:09:56,0.0,69.81.144.249,42.219.159.210,40439,19,UDP,.A....,0,40,1,28,background
2016-04-11 00:14:32,0.0,56.207.76.118,42.219.159.210,999,53,UDP,.A....,0,40,1,65,background
2016-04-11 00:16:00,0.0,246.183.3.40,42.219.159.210,46926,3306,TCP,....S.,0,40,1,40,background
2016-04-11 00:18:10,0.0,204.223.22.109,42.219.159.210,46681,5003,TCP,....S.,0,0,1,40,background
2016-04-11 00:18:11,2.932,124.64.77.87,42.219.159.210,1878,445,TCP,....S.,0,72,2,96,background
2016-04-11 00:21:27,0.0,42.9.7.17,42.219.159.210,3938,445,TCP,....S.,0,72,1,48,background
2016-04-11 00:22:06,0.0,208.43.183.102,42.219.159.210,49821,9797,TCP,....S.,0,40,1,40,background
2016-04-11 00:22:49,0.0,176.116.195.149,42.219.159.210,5218,5075,UDP,.A....,0,40,1,440,background
2016-04-11 00:27:08,0.0,33.12.117.59,42.219.159.210,5484,5580,UDP,.A....,0,0,1,442,background
2016-04-11 00:27:09,0.0,217.231.240.54,42.219.159.210,39255,2121,TCP,....S.,0,40,1,40,background
2016-04-11 00:28:04,0.0,64.29.43.214,42.219.159.210,13665,23,TCP,....S.,0,0,1,52,background
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.159.210,5060,5060,UDP,.A....,0,0,1,443,background
2016-04-11 00:28:23,0.0,42.219.159.210,70.4.63.71,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:28:23,0.49200000000000005,70.4.63.71,42.219.159.210,0,2048,ICMP,.A....,0,0,3,132,background
2016-04-11 00:30:52,0.0,42.219.159.210,222.48.177.165,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:30:52,0.652,222.48.177.165,42.219.159.210,0,2048,ICMP,.A....,0,0,3,132,background
2016-04-11 00:35:26,0.0,42.219.159.210,58.7.194.237,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:35:26,0.392,58.7.194.237,42.219.159.210,0,2048,ICMP,.A....,0,72,3,132,background
2016-04-11 00:35:49,0.0,182.42.182.186,42.219.159.210,9090,22,TCP,....S.,0,40,1,40,background
2016-04-11 00:37:19,0.0,42.219.159.210,165.252.25.25,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:37:19,0.7440000000000001,165.252.25.25,42.219.159.210,0,2048,ICMP,.A....,0,72,3,132,background
2016-04-11 00:37:57,0.0,117.208.149.194,42.219.159.210,39749,443,TCP,....S.,0,72,1,40,background
2016-04-11 00:37:57,0.0,117.208.149.195,42.219.159.210,36688,443,TCP,....S.,0,72,1,40,background
2016-04-11 00:39:00,0.0,42.219.159.210,86.129.241.29,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:39:00,0.364,86.129.241.29,42.219.159.210,0,2048,ICMP,.A....,0,72,3,132,background
2016-04-11 00:39:21,0.0,176.116.195.149,42.219.159.210,5137,5065,UDP,.A....,0,40,1,441,background
2016-04-11 00:39:31,0.0,56.207.76.118,42.219.159.210,999,53,UDP,.A....,0,40,1,65,background
2016-04-11 00:39:51,9.0,77.249.199.137,42.219.159.210,2353,23,TCP,....S.,0,0,3,180,background
2016-04-11 00:40:32,0.0,42.219.159.210,104.247.35.28,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:40:32,0.10400000000000001,104.247.35.28,42.219.159.210,0,2048,ICMP,.A....,0,72,3,132,background
2016-04-11 00:42:15,0.0,42.219.159.210,165.252.9.25,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:42:15,0.528,165.252.9.25,42.219.159.210,0,2048,ICMP,.A....,0,72,3,132,background
2016-04-11 00:43:04,0.0,225.230.216.251,42.219.159.210,6000,3306,TCP,....S.,0,40,1,40,background
2016-04-11 00:44:41,0.0,237.41.247.88,42.219.159.210,20000,53,UDP,.A....,0,40,1,69,background
2016-04-11 00:44:59,0.0,60.133.101.194,42.219.159.210,5145,5060,UDP,.A....,0,40,1,444,background
2016-04-11 00:45:39,0.0,42.219.159.210,202.172.153.249,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:45:39,0.2,202.172.153.249,42.219.159.210,0,2048,ICMP,.A....,0,72,3,132,background
2016-04-11 00:47:42,0.0,82.167.246.233,42.219.159.210,41620,1900,UDP,.A....,0,0,1,125,background
2016-04-11 00:48:13,0.0,208.43.183.102,42.219.159.210,49821,1111,TCP,....S.,0,40,1,40,background
2016-04-11 00:49:05,0.0,42.219.159.210,238.237.6.192,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:49:05,0.856,238.237.6.192,42.219.159.210,0,2048,ICMP,.A....,0,40,3,132,background
2016-04-11 00:51:07,0.0,42.219.159.210,82.178.163.61,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:51:07,0.40399999999999997,82.178.163.61,42.219.159.210,0,2048,ICMP,.A....,0,72,3,132,background
2016-04-11 00:51:27,0.0,105.190.217.12,42.219.159.210,22,42587,TCP,.A..S.,0,0,1,44,background
2016-04-11 00:51:31,2.8680000000000003,209.174.72.121,42.219.159.210,3515,445,TCP,....S.,0,72,2,96,background
2016-04-11 00:51:41,2.908,63.170.195.169,42.219.159.210,2294,445,TCP,....S.,0,0,2,96,background
2016-04-11 00:52:47,0.0,216.156.202.228,42.219.159.210,5068,5060,UDP,.A....,0,40,1,444,background
2016-04-11 00:54:55,0.0,42.219.159.210,218.45.137.171,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 00:54:55,0.3,218.45.137.171,42.219.159.210,0,2048,ICMP,.A....,0,40,3,132,background
2016-04-11 00:55:52,0.0,176.116.195.149,42.219.159.210,5090,6000,UDP,.A....,0,40,1,440,background
2016-04-11 00:57:14,5.0,75.89.91.246,42.219.159.210,49955,23,TCP,....S.,0,40,5,300,background
2016-04-11 00:58:26,0.0,224.7.72.145,42.219.159.210,38512,8080,TCP,....S.,0,40,1,40,background
2016-04-11 01:00:21,0.0,42.219.159.210,62.27.235.66,0,0,ICMP,.A....,0,0,1,32,background
2016-04-11 01:00:21,0.0,62.27.235.66,42.219.159.210,0,2048,ICMP,.A....,0,40,1,32,background
2016-04-11 01:01:35,0.0,240.62.27.30,42.219.159.210,43027,21320,TCP,....S.,0,0,1,40,background
2016-04-11 01:03:50,0.0,73.213.27.178,42.219.159.210,20001,53,UDP,.A....,0,40,1,69,background
2016-04-11 01:04:03,0.0,246.7.238.246,42.219.159.210,12200,37015,TCP,....S.,0,72,1,40,background
2016-04-11 01:04:46,0.0,208.43.182.148,42.219.159.210,48540,29081,TCP,....S.,0,40,1,40,background
2016-04-11 01:10:52,0.0,213.82.166.3,42.219.159.210,5724,5060,UDP,.A....,0,40,1,440,background
2016-04-11 01:12:24,0.0,176.116.195.149,42.219.159.210,5108,5040,UDP,.A....,0,40,1,440,background
2016-04-11 01:14:22,0.0,42.219.159.210,49.149.152.95,0,0,ICMP,.A....,0,0,1,32,background
2016-04-11 01:14:22,0.0,49.149.152.95,42.219.159.210,0,2048,ICMP,.A....,0,0,1,32,background
2016-04-11 01:14:30,2.884,223.253.227.129,42.219.159.210,2276,445,TCP,....S.,0,72,2,128,background
2016-04-11 01:19:20,3.008,44.127.168.56,42.219.159.210,36781,23,TCP,....S.,0,72,2,104,background
2016-04-11 01:19:39,9.004,173.14.70.22,42.219.159.210,47823,23,TCP,....S.,0,72,3,180,background
2016-04-11 01:22:01,0.0,42.219.159.210,182.30.180.20,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 01:22:01,0.72,182.30.180.20,42.219.159.210,0,2048,ICMP,.A....,0,0,3,132,background
2016-04-11 01:22:06,0.0,42.219.159.210,245.74.249.100,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 01:22:06,0.16,245.74.249.100,42.219.159.210,0,2048,ICMP,.A....,0,40,3,132,background
2016-04-11 01:23:28,0.0,42.219.159.210,68.113.5.149,0,0,ICMP,.A....,0,0,1,44,background
2016-04-11 01:23:28,0.34,68.113.5.149,42.219.159.210,0,2048,ICMP,.A....,0,0,3,132,background
