te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable
2016-04-11 00:06:20,0.0,176.116.195.149,42.219.157.251,5185,5074,UDP,.A....,0,40,1,441,background
2016-04-11 00:07:17,0.0,216.207.203.38,42.219.157.251,39644,3389,TCP,....S.,0,40,1,44,background
2016-04-11 00:07:17,0.0,216.207.203.38,42.219.157.251,39645,3389,TCP,....S.,0,40,1,44,background
2016-04-11 00:11:35,9.0,224.4.180.162,42.219.157.251,36687,23,TCP,....S.,0,40,3,180,background
2016-04-11 00:11:37,0.0,69.81.144.249,42.219.157.251,46021,19,UDP,.A....,0,40,1,28,background
2016-04-11 00:16:00,0.0,246.183.3.40,42.219.157.251,47638,3306,TCP,....S.,0,40,1,40,background
2016-04-11 00:18:22,0.0,204.223.22.109,42.219.157.251,46681,5003,TCP,....S.,0,0,1,40,background
2016-04-11 00:21:33,0.0,42.9.7.17,42.219.157.251,4657,445,TCP,....S.,0,72,1,48,background
2016-04-11 00:22:53,0.0,176.116.195.149,42.219.157.251,5218,5075,UDP,.A....,0,40,1,441,background
2016-04-11 00:23:55,9.048,47.15.223.33,42.219.157.251,44935,23,TCP,....S.,0,40,3,156,background
2016-04-11 00:25:56,0.0,217.156.57.81,42.219.157.251,6764,5061,UDP,.A....,0,40,1,435,background
2016-04-11 00:25:56,0.0,217.156.57.81,42.219.157.251,6764,5062,UDP,.A....,0,40,1,435,background
2016-04-11 00:25:57,0.0,217.156.57.81,42.219.157.251,6764,5063,UDP,.A....,0,40,1,432,background
2016-04-11 00:25:57,0.0,217.156.57.81,42.219.157.251,6764,5064,UDP,.A....,0,40,1,434,background
2016-04-11 00:25:57,0.0,217.156.57.81,42.219.157.251,6764,5065,UDP,.A....,0,40,1,435,background
2016-04-11 00:25:57,0.0,217.156.57.81,42.219.157.251,6764,5066,UDP,.A....,0,40,1,435,background
2016-04-11 00:25:57,0.0,217.156.57.81,42.219.157.251,6764,5067,UDP,.A....,0,40,1,436,background
2016-04-11 00:25:58,0.0,217.156.57.81,42.219.157.251,6764,5068,UDP,.A....,0,40,1,433,background
2016-04-11 00:25:58,0.0,217.156.57.81,42.219.157.251,6764,5069,UDP,.A....,0,40,1,433,background
2016-04-11 00:25:58,0.0,217.156.57.81,42.219.157.251,6764,5070,UDP,.A....,0,40,1,434,background
2016-04-11 00:25:58,0.0,217.156.57.81,42.219.157.251,6764,5071,UDP,.A....,0,40,1,434,background
2016-04-11 00:25:59,0.0,217.156.57.81,42.219.157.251,6764,5072,UDP,.A....,0,40,1,434,background
2016-04-11 00:25:59,0.0,217.156.57.81,42.219.157.251,6764,5073,UDP,.A....,0,40,1,436,background
2016-04-11 00:25:59,0.0,217.156.57.81,42.219.157.251,6764,5074,UDP,.A....,0,40,1,433,background
2016-04-11 00:25:59,0.0,217.156.57.81,42.219.157.251,6764,5075,UDP,.A....,0,40,1,433,background
2016-04-11 00:25:59,0.0,217.156.57.81,42.219.157.251,6764,5076,UDP,.A....,0,40,1,433,background
2016-04-11 00:26:00,0.0,217.156.57.81,42.219.157.251,6764,5077,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:00,0.0,217.156.57.81,42.219.157.251,6764,5078,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:00,0.0,217.156.57.81,42.219.157.251,6764,5079,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:00,0.0,217.156.57.81,42.219.157.251,6764,5080,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:01,0.0,217.156.57.81,42.219.157.251,6764,5081,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:01,0.0,217.156.57.81,42.219.157.251,6764,5082,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:01,0.0,217.156.57.81,42.219.157.251,6764,5083,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:01,0.0,217.156.57.81,42.219.157.251,6764,5084,UDP,.A....,0,40,1,433,background
2016-04-11 00:26:01,0.0,217.156.57.81,42.219.157.251,6764,5085,UDP,.A....,0,40,1,434,background
2016-04-11 00:26:02,0.0,217.156.57.81,42.219.157.251,6764,5086,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:02,0.0,217.156.57.81,42.219.157.251,6764,5087,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:02,0.0,217.156.57.81,42.219.157.251,6764,5088,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:02,0.0,217.156.57.81,42.219.157.251,6764,5089,UDP,.A....,0,40,1,435,background
2016-04-11 00:26:02,0.0,217.156.57.81,42.219.157.251,6764,5090,UDP,.A....,0,40,1,435,background
2016-04-11 00:27:12,0.0,33.12.117.59,42.219.157.251,5484,5580,UDP,.A....,0,0,1,441,background
2016-04-11 00:27:53,0.0,32.100.20.28,42.219.157.251,41478,873,TCP,....S.,0,40,1,40,background
2016-04-11 00:28:10,0.0,33.12.107.16,42.219.157.251,5060,5060,UDP,.A....,0,0,1,441,background
2016-04-11 00:28:19,0.0,217.231.240.54,42.219.157.251,39255,2121,TCP,....S.,0,40,1,40,background
2016-04-11 00:33:36,0.0,242.103.61.21,42.219.157.251,50142,80,TCP,....S.,0,0,1,40,background
2016-04-11 00:39:24,0.0,176.116.195.149,42.219.157.251,5137,5065,UDP,.A....,0,40,1,441,background
2016-04-11 00:41:39,0.0,194.231.140.151,42.219.157.251,49717,902,TCP,....S.,0,40,1,40,background
2016-04-11 00:41:42,0.0,82.6.252.214,42.219.157.251,41967,443,TCP,....S.,0,0,1,40,background
2016-04-11 00:42:12,0.0,242.101.129.130,42.219.157.251,53575,443,TCP,....S.,0,0,1,40,background
2016-04-11 00:43:04,0.0,225.230.216.251,42.219.157.251,6000,3306,TCP,....S.,0,40,1,40,background
2016-04-11 00:44:41,0.0,237.41.247.88,42.219.157.251,20000,53,UDP,.A....,0,40,1,70,background
2016-04-11 00:44:59,0.0,60.133.101.194,42.219.157.251,5145,5060,UDP,.A....,0,40,1,444,background
2016-04-11 00:47:49,0.0,82.167.246.233,42.219.157.251,41620,1900,UDP,.A....,0,0,1,125,background
2016-04-11 00:52:47,0.0,216.156.202.228,42.219.157.251,5068,5060,UDP,.A....,0,40,1,443,background
2016-04-11 00:55:56,0.0,176.116.195.149,42.219.157.251,5090,6000,UDP,.A....,0,40,1,440,background
2016-04-11 00:58:26,0.0,224.7.72.145,42.219.157.251,57705,8080,TCP,....S.,0,40,1,40,background
2016-04-11 00:59:26,0.0,69.81.144.249,42.219.157.251,49928,17,UDP,.A....,0,40,1,28,background
2016-04-11 01:01:34,0.0,90.116.42.196,42.219.157.251,52244,25,TCP,....S.,0,40,1,40,background
2016-04-11 01:02:19,0.0,56.247.175.44,42.219.157.251,49449,80,TCP,....S.,0,40,1,40,background
2016-04-11 01:03:50,0.0,73.213.27.178,42.219.157.251,20001,53,UDP,.A....,0,40,1,70,background
2016-04-11 01:06:13,0.0,198.132.27.28,42.219.157.251,49717,1604,TCP,....S.,0,40,1,40,background
2016-04-11 01:10:33,0.0,117.208.149.137,42.219.157.251,45018,80,TCP,....S.,0,72,1,40,background
2016-04-11 01:10:33,0.0,117.208.149.139,42.219.157.251,49656,80,TCP,....S.,0,72,1,40,background
2016-04-11 01:11:18,0.0,213.82.166.3,42.219.157.251,5724,5060,UDP,.A....,0,40,1,439,background
2016-04-11 01:12:28,0.0,176.116.195.149,42.219.157.251,5108,5040,UDP,.A....,0,40,1,441,background
2016-04-11 01:18:27,0.0,117.208.149.202,42.219.157.251,45253,443,TCP,....S.,0,72,1,40,background
2016-04-11 01:18:27,0.0,117.208.149.203,42.219.157.251,52095,443,TCP,....S.,0,72,1,40,background
2016-04-11 01:18:31,0.0,178.27.6.47,42.219.157.251,12200,29081,TCP,....S.,0,72,1,40,background
2016-04-11 01:20:47,0.0,32.100.20.28,42.219.157.251,41478,389,TCP,....S.,0,40,1,40,background
2016-04-11 01:25:00,0.0,174.25.115.206,42.219.157.251,0,2048,ICMP,.A....,0,0,1,28,background
2016-04-11 01:35:08,0.0,246.205.68.186,42.219.157.251,14064,22,TCP,....S.,0,40,1,48,background
2016-04-11 01:41:02,0.0,194.231.171.145,42.219.157.251,31632,55553,TCP,....S.,0,40,1,40,background
2016-04-11 01:43:10,0.0,198.132.59.191,42.219.157.251,36040,80,UDP,.A....,0,40,1,44,background
2016-04-11 01:45:36,0.0,33.12.99.120,42.219.157.251,5380,5060,UDP,.A....,0,0,1,444,background
2016-04-11 01:53:37,0.0,36.37.136.91,42.219.157.251,5060,5060,UDP,.A....,0,0,1,434,background
2016-04-11 01:57:21,8.992,233.145.129.216,42.219.157.251,55070,23,TCP,....S.,0,72,3,168,background
2016-04-11 01:58:50,0.0,69.124.8.90,42.219.157.251,38328,123,UDP,.A....,0,40,1,37,background
2016-04-11 01:59:35,0.0,240.62.27.30,42.219.157.251,41779,21320,TCP,....S.,0,0,1,40,background
2016-04-11 02:00:22,8.992,66.129.192.241,42.219.157.251,42027,23,TCP,....S.,0,40,3,180,background
2016-04-11 02:01:40,9.0,72.228.239.40,42.219.157.251,2620,4028,TCP,....S.,0,72,3,180,background
2016-04-11 02:17:43,3.02,237.150.196.245,42.219.157.251,39004,23,TCP,....S.,0,40,2,104,background
2016-04-11 02:18:23,0.0,222.156.17.131,42.219.157.251,46690,8443,TCP,....S.,0,40,1,40,background
2016-04-11 02:18:29,0.0,222.156.17.131,42.219.157.251,46690,443,TCP,....S.,0,40,1,40,background
2016-04-11 02:18:44,0.0,222.156.17.131,42.219.157.251,46690,9443,TCP,....S.,0,40,1,40,background
2016-04-11 02:18:50,0.0,222.156.17.131,42.219.157.251,46690,5443,TCP,....S.,0,40,1,40,background
2016-04-11 02:18:58,0.0,222.156.17.131,42.219.157.251,46690,4444,TCP,....S.,0,40,1,40,background
2016-04-11 02:25:33,2.9960000000000004,49.184.219.1,42.219.157.251,4927,23,TCP,....S.,0,0,2,120,background
2016-04-11 02:43:04,0.0,228.115.176.239,42.219.157.251,6000,1433,TCP,....S.,0,40,1,40,background
2016-04-11 02:45:22,0.0,43.42.79.238,42.219.157.251,48898,6379,TCP,....S.,0,0,1,40,background
2016-04-11 02:49:31,0.0,68.137.244.176,42.219.157.251,42549,443,TCP,....S.,0,0,1,40,background
