number_of_rows,ip,incoming_num,outgoing_num,user_type
21113098,42.219.156.211,10445201,10667829,0
20712441,42.219.156.231,10048081,10664358,0
8006954,42.219.153.191,4011123,3995829,0
6463978,42.219.159.95,481086,5982631,0
5691996,42.219.155.28,2931128,2760867,0
4591194,42.219.159.85,2560073,2031082,0
4256629,42.219.153.62,2129958,2126567,0
3480839,42.219.158.156,1740127,1740710,0
2896611,42.219.155.56,1686582,1210021,0
2763365,42.219.153.89,1420747,1342574,0
2748536,42.219.153.7,1381471,1366815,0
2337073,42.219.155.26,1161279,1175792,0
2286615,42.219.159.194,1200873,1081057,0
2232025,42.219.159.92,1343243,888781,0
2179889,42.219.152.249,1132938,1046838,0
1867730,42.219.159.82,923237,944491,0
1779469,42.219.159.94,1008091,771320,0
1287814,42.219.158.226,650203,637605,0
1250228,42.219.154.107,623751,626475,0
1237597,42.219.153.128,617126,620224,0
1020812,42.219.155.59,511771,509039,0
984940,42.219.156.243,414092,570847,0
923032,42.219.154.108,454114,467441,0
909024,42.219.158.180,485812,423210,0
848163,42.219.158.175,430125,418036,0
836154,42.219.154.128,417729,418143,0
796193,42.219.154.101,379549,416639,0
790373,42.219.158.186,410459,379912,0
775486,42.219.159.181,376227,399257,0
743906,42.219.157.222,362618,381286,0
698607,42.219.154.100,349137,349248,0
685717,42.219.159.199,503581,177676,0
681487,42.219.154.97,345815,334084,0
659646,42.219.154.119,311844,347798,0
630756,42.219.154.114,311893,318816,0
621267,42.219.155.90,287174,334091,0
620247,42.219.159.197,239427,380818,0
609168,42.219.158.213,295436,313730,0
587419,42.219.155.102,293041,294370,0
577938,42.219.153.147,305360,272422,0
576255,42.219.159.195,555734,17700,0
570373,42.219.159.87,524268,46103,0
567220,42.219.154.116,281318,285643,0
561855,42.219.159.106,282586,279268,0
555763,42.219.159.86,283840,271922,0
554807,42.219.158.191,275206,279597,0
546546,42.219.154.105,273304,273234,0
537392,42.219.158.160,267179,269939,0
523283,42.219.157.23,284231,239050,0
506488,42.219.155.107,248976,257506,0
504112,42.219.158.178,262386,241724,0
492599,42.219.156.223,242057,250540,0
488283,42.219.153.164,251771,236510,0
479745,42.219.159.201,478957,786,0
464954,42.219.157.10,230753,234199,0
439936,42.219.154.98,219994,219940,0
432385,42.219.153.38,230789,201594,0
425172,42.219.159.118,211932,211271,0
413848,42.219.159.63,194225,219622,0
409580,42.219.156.213,201587,207991,0
402725,42.219.154.129,192263,210454,0
386948,42.219.156.239,191856,195088,0
383125,42.219.156.215,191011,192112,0
379531,42.219.158.212,204616,174873,0
371808,42.219.158.161,186109,185697,0
370822,42.219.158.206,186329,184491,0
363217,42.219.156.212,181129,182086,0
360941,42.219.154.103,179029,181910,0
352548,42.219.158.235,173242,179304,0
351566,42.219.153.26,175770,175790,0
339551,42.219.158.188,170767,168782,0
336038,42.219.154.154,165926,170110,0
335927,42.219.156.214,167493,168432,0
319861,42.219.157.12,159479,160380,0
315190,42.219.159.119,209815,105374,0
292230,42.219.154.133,147748,144342,0
284297,42.219.154.109,141475,142820,0
283419,42.219.154.132,143531,139862,0
282699,42.219.159.76,135333,144630,0
278882,42.219.153.219,149897,128983,0
277749,42.219.155.88,168050,109697,0
276854,42.219.158.179,137147,139705,0
273944,42.219.155.103,136751,137191,0
266861,42.219.154.142,133252,133607,0
265842,42.219.145.18,134344,131474,0
261111,42.219.154.111,134610,126499,0
259206,42.219.155.100,129693,129511,0
257257,42.219.152.126,127517,129738,0
242386,42.219.158.190,122612,119772,0
242137,42.219.154.130,104849,137286,0
241755,42.219.145.25,111911,129842,0
240132,42.219.153.30,132994,107136,0
238667,42.219.153.21,123978,114589,0
238051,42.219.158.164,119095,118954,0
229637,42.219.159.88,115711,113922,0
228651,42.219.159.93,113274,115375,0
218767,42.219.156.210,106042,112723,0
209510,42.219.158.165,109017,100485,0
205919,42.219.159.182,86067,100581,0
205846,42.219.153.156,105853,99991,0
203502,42.219.154.96,101919,101579,0
196198,42.219.159.91,94187,102009,0
195853,42.219.154.123,98748,96875,0
191403,42.219.159.90,86768,104633,0
188846,42.219.154.151,94714,94130,0
185595,42.219.155.106,93409,92184,0
185008,42.219.153.12,91717,93289,0
179606,42.219.154.135,93404,86192,0
178515,42.219.153.248,93914,84599,0
175955,42.219.153.103,90162,85791,0
175819,42.219.145.114,85554,90263,0
175542,42.219.159.61,84609,90932,0
174972,42.219.154.149,87703,87265,0
174522,42.219.153.123,103261,71259,0
174087,42.219.156.246,85897,88188,0
174030,42.219.153.252,86882,87146,0
167818,42.219.159.115,81425,86392,0
165936,42.219.158.177,84303,81631,0
163282,42.219.145.202,81962,81300,0
163277,42.219.155.95,91019,72256,0
157071,42.219.153.155,75067,78427,0
156361,42.219.159.121,78341,78019,0
155891,42.219.153.149,77223,77141,0
151785,42.219.158.220,51004,100779,0
147696,42.219.154.122,66509,81088,0
146232,42.219.156.185,71716,74514,0
141099,42.219.153.58,75311,65786,0
138728,42.219.153.117,67374,71352,0
135986,42.219.158.204,68942,66769,0
134688,42.219.156.229,68081,66605,0
131415,42.219.153.43,65955,65458,0
129124,42.219.153.41,67509,61613,0
128770,42.219.156.198,58572,70196,0
123816,42.219.155.119,67331,56483,0
121774,42.219.158.242,60804,60968,0
120267,42.219.153.78,75012,45253,0
118722,42.219.153.168,58010,60574,0
113776,42.219.152.242,50847,62927,0
110031,42.219.145.158,55191,54836,0
108723,42.219.157.27,54087,54634,0
107817,42.219.153.27,55124,52691,0
106704,42.219.154.159,51550,55152,0
100354,42.219.153.199,50798,49548,0
99696,42.219.154.99,49645,50049,0
94286,42.219.154.106,47283,47001,0
93329,42.219.157.213,42986,50337,0
89669,42.219.159.221,1889,1281,0
86122,42.219.159.154,1177,289,0
85879,42.219.154.156,42982,42797,0
85362,42.219.153.136,42824,42472,0
81864,42.219.145.242,41759,40099,0
80101,42.219.154.104,40201,39898,0
79193,42.219.159.179,630,0,2
78051,42.219.159.152,728,650,0
75704,42.219.155.105,37923,37779,0
74931,42.219.154.176,37471,37458,0
74238,42.219.155.113,33025,41211,0
73983,42.219.155.188,37059,36922,0
72981,42.219.153.118,36970,36009,0
71213,42.219.156.195,32244,38967,0
71104,42.219.157.8,30280,40822,0
70339,42.219.153.74,39855,30482,0
68479,42.219.154.157,34210,34267,0
67911,42.219.154.117,34241,33668,0
67844,42.219.154.121,34148,33694,0
65325,42.219.158.246,37778,27545,0
64413,42.219.152.248,64050,176,0
62848,42.219.158.202,30513,32333,0
62805,42.219.158.218,33306,29447,0
62622,42.219.151.129,62621,0,2
62164,42.219.156.245,31077,31085,0
61825,42.219.154.182,31113,30710,0
61230,42.219.157.24,26371,34857,0
60772,42.219.157.6,28669,32101,0
58994,42.219.155.94,30242,28750,0
58170,42.219.153.105,34545,23623,0
56640,42.219.159.89,20943,35695,0
55867,42.219.153.120,32269,23585,0
55646,42.219.155.115,27067,28577,0
54935,42.219.145.243,27850,27083,0
54412,42.219.157.25,24607,29803,0
