occurrence,ip
10667863,42.219.156.211
10664359,42.219.156.231
5982859,42.219.159.95
3995830,42.219.153.191
2760867,42.219.155.28
2126619,42.219.153.62
2031099,42.219.159.85
1740711,42.219.158.156
1366940,42.219.153.7
1342589,42.219.153.89
1210025,42.219.155.56
1175793,42.219.155.26
1081080,42.219.159.194
1046866,42.219.152.249
944492,42.219.159.82
888781,42.219.159.92
771349,42.219.159.94
637608,42.219.158.226
626476,42.219.154.107
620300,42.219.153.128
570847,42.219.156.243
509040,42.219.155.59
467442,42.219.154.108
423211,42.219.158.180
418256,42.219.154.128
418037,42.219.158.175
416642,42.219.154.101
399258,42.219.159.181
381287,42.219.157.222
380819,42.219.159.197
379913,42.219.158.186
349299,42.219.154.100
347800,42.219.154.119
334092,42.219.155.90
334085,42.219.154.97
318842,42.219.154.114
313731,42.219.158.213
294373,42.219.155.102
285647,42.219.154.116
279599,42.219.158.191
279268,42.219.159.106
273238,42.219.154.105
272482,42.219.153.147
271922,42.219.159.86
270076,42.219.158.160
257509,42.219.155.107
250541,42.219.156.223
241725,42.219.158.178
239051,42.219.157.23
236511,42.219.153.164
234200,42.219.157.10
219941,42.219.154.98
219622,42.219.159.63
213152,42.219.159.118
210458,42.219.154.129
207992,42.219.156.213
201595,42.219.153.38
195090,42.219.156.239
192113,42.219.156.215
185698,42.219.158.161
184492,42.219.158.206
182087,42.219.156.212
181911,42.219.154.103
181547,42.219.159.199
179305,42.219.158.235
175793,42.219.153.26
174874,42.219.158.212
170111,42.219.154.154
168783,42.219.158.188
168433,42.219.156.214
160381,42.219.157.12
146786,42.219.159.76
144343,42.219.154.133
142821,42.219.154.109
139875,42.219.154.132
139706,42.219.158.179
137287,42.219.154.130
137192,42.219.155.103
133608,42.219.154.142
131486,42.219.145.18
129843,42.219.145.25
129739,42.219.152.126
129512,42.219.155.100
128984,42.219.153.219
126500,42.219.154.111
119851,42.219.159.182
119773,42.219.158.190
118955,42.219.158.164
115376,42.219.159.93
114614,42.219.153.21
113924,42.219.159.88
112724,42.219.156.210
109698,42.219.155.88
107137,42.219.153.30
105374,42.219.159.119
104634,42.219.159.90
102010,42.219.159.91
101581,42.219.154.96
100780,42.219.158.220
100489,42.219.158.165
99992,42.219.153.156
96876,42.219.154.123
94131,42.219.154.151
93290,42.219.153.12
92185,42.219.155.106
90932,42.219.159.61
90264,42.219.145.114
88189,42.219.156.246
87267,42.219.154.149
87147,42.219.153.252
86392,42.219.159.115
86197,42.219.154.135
85792,42.219.153.103
84600,42.219.153.248
82380,42.219.159.221
81632,42.219.158.177
81310,42.219.145.202
81089,42.219.154.122
78562,42.219.159.179
78428,42.219.153.155
78019,42.219.159.121
77144,42.219.153.149
74515,42.219.156.185
72257,42.219.155.95
71353,42.219.153.117
71260,42.219.153.123
70197,42.219.156.198
66770,42.219.158.204
66606,42.219.156.229
65787,42.219.153.58
65459,42.219.153.43
62928,42.219.152.242
61614,42.219.153.41
60969,42.219.158.242
60638,42.219.153.168
56484,42.219.155.119
55153,42.219.154.159
54838,42.219.145.158
54635,42.219.157.27
52692,42.219.153.27
50342,42.219.157.213
50050,42.219.154.99
49552,42.219.153.199
47002,42.219.154.106
46104,42.219.159.87
45254,42.219.153.78
42798,42.219.154.156
42505,42.219.153.136
41212,42.219.155.113
40823,42.219.157.8
40102,42.219.145.242
39899,42.219.154.104
38968,42.219.156.195
37780,42.219.155.105
37459,42.219.154.176
36923,42.219.155.188
36010,42.219.153.118
35696,42.219.159.89
34858,42.219.157.24
34268,42.219.154.157
33695,42.219.154.121
33669,42.219.154.117
32334,42.219.158.202
32102,42.219.157.6
31086,42.219.156.245
30711,42.219.154.182
30483,42.219.153.74
29804,42.219.157.25
29458,42.219.158.218
28751,42.219.155.94
28578,42.219.155.115
27546,42.219.158.246
27087,42.219.145.88
27084,42.219.145.243
26986,42.219.154.19
26975,42.219.154.18
26199,42.219.154.20
26196,42.219.155.111
25729,42.219.158.173
25723,42.219.153.72
25687,42.219.153.76
25654,42.219.159.196
25576,42.219.159.190
25366,42.219.159.171
24967,42.219.153.44
24653,42.219.154.178
24190,42.219.159.83
24055,42.219.154.141
23962,42.219.155.1
23724,42.219.153.8
23648,42.219.153.154
23624,42.219.153.105
23586,42.219.153.120
23349,42.219.154.150
23266,42.219.153.190
23142,42.219.153.81
22949,42.219.145.119
22785,42.219.158.176
22776,42.219.159.71
22559,42.219.159.69
22327,42.219.154.131
22066,42.219.153.101
21888,42.219.155.57
21618,42.219.154.118
21523,42.219.158.224
21234,42.219.153.112
20936,42.219.154.180
20882,42.219.154.110
20747,42.219.154.152
20276,42.219.153.67
19921,42.219.159.195
19793,42.219.154.155
19624,42.219.154.186
19359,42.219.153.53
19252,42.219.154.147
19093,42.219.159.170
19063,42.219.157.11
18954,42.219.145.19
18849,42.219.153.57
18625,42.219.153.15
18506,42.219.145.240
18456,42.219.155.135
18453,42.219.155.181
18438,42.219.155.81
17696,42.219.156.196
17545,42.219.155.133
17505,42.219.159.80
17279,42.219.153.68
17162,42.219.156.199
17153,42.219.154.134
17097,42.219.153.40
16830,42.219.153.35
16740,42.219.154.146
16299,42.219.156.197
16147,42.219.159.183
16139,42.219.154.144
15897,42.219.154.158
15726,42.219.157.29
15726,42.219.153.45
15646,42.219.159.104
15550,42.219.154.185
15425,42.219.159.59
15202,42.219.155.69
15146,42.219.156.194
15045,42.219.153.238
14872,42.219.153.244
14716,42.219.154.124
14593,42.219.153.176
14546,42.219.153.220
14182,42.219.153.159
13952,42.219.153.234
13947,42.219.154.102
13872,42.219.153.79
13760,42.219.145.234
13708,42.219.153.197
13594,42.219.154.145
13483,42.219.153.233
13403,42.219.153.59
13400,42.219.154.184
13234,42.219.153.131
13225,42.219.159.185
13214,42.219.158.240
13134,42.219.159.64
13098,42.219.153.119
13014,42.219.156.237
12994,42.219.155.11
12709,42.219.158.205
12694,42.219.153.39
12507,42.219.154.188
12466,42.219.155.23
12379,42.219.156.226
11892,42.219.154.191
11832,42.219.153.47
11290,42.219.153.49
11266,42.219.159.84
11252,42.219.158.225
11147,42.219.159.127
11093,42.219.155.5
11020,42.219.153.18
10978,42.219.155.29
10974,42.219.155.189
10732,42.219.153.226
10466,42.219.153.236
10351,42.219.158.169
10336,42.219.157.235
10228,42.219.155.128
10049,42.219.153.218
9743,42.219.153.4
9544,42.219.153.166
9466,42.219.153.83
9383,42.219.153.100
9338,42.219.153.250
9201,42.219.158.174
9160,42.219.153.227
9037,42.219.153.64
9029,42.219.154.189
8759,42.219.153.198
8741,42.219.154.177
8718,42.219.159.192
8649,42.219.159.122
8600,42.219.159.133
8575,42.219.154.148
8406,42.219.153.24
8343,42.219.153.80
8342,42.219.153.2
8206,42.219.153.60
7999,42.219.153.125
7831,42.219.156.233
7824,42.219.153.163
7796,42.219.157.2
7786,42.219.157.206
7739,42.219.154.113
7546,42.219.158.183
7531,42.219.154.45
7531,42.219.153.17
7481,42.219.159.164
7473,42.219.153.225
7414,42.219.158.216
7338,42.219.155.104
7320,42.219.156.232
7241,42.219.158.236
7214,42.219.159.68
7135,42.219.153.222
7130,42.219.153.150
7115,42.219.158.255
7082,42.219.156.248
7075,42.219.153.251
7073,42.219.153.178
7024,42.219.158.163
6958,42.219.159.191
6914,42.219.156.193
6809,42.219.153.193
6669,42.219.158.172
6644,42.219.156.228
6639,42.219.153.9
6624,42.219.155.13
6606,42.219.153.241
6579,42.219.153.209
6568,42.219.158.189
6563,42.219.154.153
6529,42.219.153.140
6484,42.219.158.211
6385,42.219.158.227
6356,42.219.158.162
6349,42.219.155.164
6310,42.219.153.75
6273,42.219.155.87
6241,42.219.155.123
6212,42.219.155.19
6131,42.219.155.6
6048,42.219.152.207
6039,42.219.153.158
5952,42.219.145.125
5921,42.219.152.251
5814,42.219.154.56
5766,42.219.158.196
5753,42.219.154.143
5752,42.219.153.240
5713,42.219.153.91
5698,42.219.155.10
5628,42.219.153.162
5601,42.219.157.220
5601,42.219.154.179
5589,42.219.153.169
5474,42.219.159.187
5450,42.219.155.132
5273,42.219.153.130
5194,42.219.155.65
5165,42.219.156.230
5122,42.219.153.36
5109,42.219.159.142
5070,42.219.159.186
5040,42.219.152.254
4871,42.219.155.129
4806,42.219.153.214
4737,42.219.159.188
4712,42.219.153.204
4696,42.219.153.133
